Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 4th Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 1-2-3,Bottom of the 4th Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 1-2-3,Bottom of the 4th Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 1-2-3,Bottom of the 4th Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 1-2-3,Bottom of the 4th Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 1-2-3,Bottom of the 4th Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 1-2-3,Bottom of the 4th Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 1-2-3,Bottom of the 4th Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 1-2-3,Bottom of the 4th Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 1-2-3,Bottom of the 4th Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 1-2-3,Bottom of the 4th Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 1-2-3,Bottom of the 4th Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 1-2-3
b4,5-6,0,---,3(1-1) LBX,O,WSN,Victor Robles,Josh Tomlin,4%,65%,Groundout: SS-1B (Deep SS)
b4,5-6,1,---,2(0-1) CX,O,WSN,Trea Turner,Josh Tomlin,3%,68%,Groundout: SS-1B
b4,5-6,2,---,5(3-1) BCBBB,,WSN,Juan Soto,Josh Tomlin,-2%,66%,Walk
b4,5-6,2,1--,5(1-2) C1>F*B1F>C,O,WSN,Ryan Zimmerman,Josh Tomlin,4%,70%,Strikeout Looking
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 1 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 1 LOB. Braves 6 Nationals 5.
Top of the 5th Braves Batting Ahead 6-5 Nationals' Kyle Finnegan facing 5-6-7,Top of the 5th Braves Batting Ahead 6-5 Nationals' Kyle Finnegan facing 5-6-7,Top of the 5th Braves Batting Ahead 6-5 Nationals' Kyle Finnegan facing 5-6-7,Top of the 5th Braves Batting Ahead 6-5 Nationals' Kyle Finnegan facing 5-6-7,Top of the 5th Braves Batting Ahead 6-5 Nationals' Kyle Finnegan facing 5-6-7,Top of the 5th Braves Batting Ahead 6-5 Nationals' Kyle Finnegan facing 5-6-7,Top of the 5th Braves Batting Ahead 6-5 Nationals' Kyle Finnegan facing 5-6-7,Top of the 5th Braves Batting Ahead 6-5 Nationals' Kyle Finnegan facing 5-6-7,Top of the 5th Braves Batting Ahead 6-5 Nationals' Kyle Finnegan facing 5-6-7,Top of the 5th Braves Batting Ahead 6-5 Nationals' Kyle Finnegan facing 5-6-7,Top of the 5th Braves Batting Ahead 6-5 Nationals' Kyle Finnegan facing 5-6-7,Top of the 5th Braves Batting Ahead 6-5 Nationals' Kyle Finnegan facing 5-6-7
,,,,,,,,,Kyle Finnegan replaces Sam Clay pitching and batting 9th,Kyle Finnegan replaces Sam Clay pitching and batting 9th,Kyle Finnegan replaces Sam Clay pitching and batting 9th
t5,6-5,0,---,5(2-2) .TBCBS,O,ATL,Travis d'Arnaud,Kyle Finnegan,-2%,67%,Strikeout Swinging
t5,6-5,1,---,4(1-2) BTFS,O,ATL,Dansby Swanson,Kyle Finnegan,-2%,66%,Strikeout Swinging
